Ad Group Name,Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
Enterprise Legal AI OS,Anrak Legal - Enterprise Search (India),"₹5,691.14",₹0.00,145,0,145,0
Contract AI & Document Automation,Anrak Legal - Enterprise Search (India),₹582.17,₹0.00,17,0,17,0
