Gender,Age Range,Impressions,Percent of known total
Male,18–24,140,8.33%
Male,25–34,527,31.35%
Male,35–44,292,17.37%
Male,45–54,203,12.08%
Male,55–64,85,5.06%
Male,65+,42,2.50%
Female,18–24,112,6.66%
Female,25–34,159,9.46%
Female,35–44,67,3.99%
Female,45–54,44,2.62%
Female,55–64,9,0.54%
Female,65+,1,0.06%
