Start Hour,Impressions
00,17
01,14
02,6
03,4
04,7
05,8
06,8
07,11
08,9
09,163
10,198
11,284
12,256
13,259
14,234
15,248
16,238
17,197
18,138
19,105
20,31
21,27
22,20
23,32
