Day,Start Hour,Impressions
Sunday,00,9
Sunday,01,5
Sunday,02,3
Sunday,03,2
Sunday,04,4
Sunday,05,3
Sunday,06,6
Sunday,07,3
Sunday,08,3
Sunday,09,10
Sunday,10,11
Sunday,11,17
Sunday,12,16
Sunday,13,3
Sunday,14,8
Sunday,15,6
Sunday,16,7
Sunday,17,12
Sunday,18,19
Sunday,19,16
Sunday,20,16
Sunday,21,16
Sunday,22,12
Sunday,23,23
Monday,00,7
Monday,01,9
Monday,02,3
Monday,03,2
Monday,04,3
Monday,05,4
Monday,06,1
Monday,07,8
Monday,08,4
Monday,09,24
Monday,10,11
Monday,11,34
Monday,12,72
Monday,13,92
Monday,14,61
Monday,15,88
Monday,16,77
Monday,17,53
Monday,18,39
Monday,19,21
Monday,20,0
Monday,21,0
Monday,22,0
Monday,23,0
Tuesday,00,0
Tuesday,01,0
Tuesday,02,0
Tuesday,03,0
Tuesday,04,0
Tuesday,05,0
Tuesday,06,0
Tuesday,07,0
Tuesday,08,0
Tuesday,09,33
Tuesday,10,60
Tuesday,11,76
Tuesday,12,64
Tuesday,13,60
Tuesday,14,63
Tuesday,15,37
Tuesday,16,51
Tuesday,17,40
Tuesday,18,38
Tuesday,19,26
Tuesday,20,0
Tuesday,21,0
Tuesday,22,0
Tuesday,23,0
Wednesday,00,0
Wednesday,01,0
Wednesday,02,0
Wednesday,03,0
Wednesday,04,0
Wednesday,05,0
Wednesday,06,0
Wednesday,07,0
Wednesday,08,0
Wednesday,09,31
Wednesday,10,38
Wednesday,11,51
Wednesday,12,29
Wednesday,13,18
Wednesday,14,26
Wednesday,15,22
Wednesday,16,27
Wednesday,17,17
Wednesday,18,1
Wednesday,19,3
Wednesday,20,0
Wednesday,21,0
Wednesday,22,0
Wednesday,23,0
Thursday,00,0
Thursday,01,0
Thursday,02,0
Thursday,03,0
Thursday,04,0
Thursday,05,0
Thursday,06,0
Thursday,07,0
Thursday,08,0
Thursday,09,12
Thursday,10,8
Thursday,11,19
Thursday,12,42
Thursday,13,69
Thursday,14,66
Thursday,15,88
Thursday,16,72
Thursday,17,64
Thursday,18,34
Thursday,19,29
Thursday,20,6
Thursday,21,0
Thursday,22,0
Thursday,23,0
Friday,00,1
Friday,01,0
Friday,02,0
Friday,03,0
Friday,04,0
Friday,05,1
Friday,06,1
Friday,07,0
Friday,08,2
Friday,09,53
Friday,10,70
Friday,11,87
Friday,12,33
Friday,13,17
Friday,14,2
Friday,15,0
Friday,16,0
Friday,17,0
Friday,18,0
Friday,19,0
Friday,20,0
Friday,21,0
Friday,22,0
Friday,23,0
Saturday,00,0
Saturday,01,0
Saturday,02,0
Saturday,03,0
Saturday,04,0
Saturday,05,0
Saturday,06,0
Saturday,07,0
Saturday,08,0
Saturday,09,0
Saturday,10,0
Saturday,11,0
Saturday,12,0
Saturday,13,0
Saturday,14,8
Saturday,15,7
Saturday,16,4
Saturday,17,11
Saturday,18,7
Saturday,19,10
Saturday,20,9
Saturday,21,11
Saturday,22,8
Saturday,23,9
