Start Hour,Impressions
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,15
10,16
11,14
12,24
13,12
14,16
15,6
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
