Gender,Age Range,Impressions,Percent of known total
Male,18–24,16,21.33%
Male,25–34,19,25.33%
Male,35–44,7,9.33%
Male,45–54,4,5.33%
Male,55–64,2,2.67%
Male,65+,3,4.00%
Female,18–24,8,10.67%
Female,25–34,13,17.33%
Female,35–44,1,1.33%
Female,45–54,2,2.67%
Female,55–64,0,0.00%
Female,65+,0,0.00%
