Gender,Age Range,Impressions,Percent of known total
Male,18–24,13,8.50%
Male,25–34,58,37.91%
Male,35–44,31,20.26%
Male,45–54,14,9.15%
Male,55–64,3,1.96%
Male,65+,1,0.65%
Female,18–24,7,4.58%
Female,25–34,14,9.15%
Female,35–44,6,3.92%
Female,45–54,5,3.27%
Female,55–64,1,0.65%
Female,65+,0,0.00%
