Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Enterprise Legal AI OS,Enabled,Enabled,₹707.55,15,7.81%
Contract AI & Document Automation,Enabled,Enabled,₹92.34,2,6.25%
