Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Enterprise Legal AI OS,Enabled,Enabled,₹669.96,18,11.92%
Case Management & AI Paralegal,Enabled,Enabled,₹78.69,2,20.00%
