Start Hour,Impressions
00,7
01,9
02,3
03,2
04,3
05,4
06,1
07,8
08,4
09,4
10,11
11,12
12,8
13,6
14,10
15,29
16,22
17,18
18,0
19,0
20,0
21,0
22,0
23,0
