Gender,Age Range,Impressions,Percent of known total
Male,18–24,17,15.45%
Male,25–34,33,30.00%
Male,35–44,9,8.18%
Male,45–54,11,10.00%
Male,55–64,4,3.64%
Male,65+,2,1.82%
Female,18–24,13,11.82%
Female,25–34,15,13.64%
Female,35–44,4,3.64%
Female,45–54,1,0.91%
Female,55–64,0,0.00%
Female,65+,1,0.91%
