Gender,Age Range,Impressions,Percent of known total
Male,18–24,7,26.92%
Male,25–34,5,19.23%
Male,35–44,4,15.38%
Male,45–54,2,7.69%
Male,55–64,3,11.54%
Male,65+,1,3.85%
Female,18–24,1,3.85%
Female,25–34,1,3.85%
Female,35–44,2,7.69%
Female,45–54,0,0.00%
Female,55–64,0,0.00%
Female,65+,0,0.00%
