Start Hour,Impressions
00,1
01,0
02,0
03,0
04,0
05,1
06,1
07,0
08,2
09,8
10,4
11,10
12,5
13,2
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
