Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Case Management & AI Paralegal,Enabled,Enabled,₹36.11,1,14.29%
Enterprise Legal AI OS,Enabled,Enabled,₹35.19,1,3.70%
