Campaign report
4 May 2026 - 2 June 2026
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimisation score,Campaign type,Conv. value,Conversions,Conv. rate,Cost / conv.,Impr.,Clicks,CTR,Cost,Goals
Enabled,Anrak Legal branding,350.00, --,Daily,INR,Eligible,, --,Search,191.53,2.00,1.42%,423.84,"2,129",141,6.62%,847.67,[SIGNUP/WEBSITE]
Total: Campaigns, --, --, --, --,INR, --,, --, --,191.53,2.00,1.42%,423.84,"2,129",141,6.62%,847.67, --
Total: Campaign,,,,,INR,,,,,191.53,2.00,1.42%,423.84,"2,129",141,6.62%,847.67,
