Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Enterprise Legal AI OS,Enabled,Enabled,₹693.10,13,7.56%
Case Management & AI Paralegal,Enabled,Enabled,₹0.00,0,0.00%
