Gender,Age Range,Impressions,Percent of known total
Male,18–24,15,11.72%
Male,25–34,45,35.16%
Male,35–44,16,12.50%
Male,45–54,6,4.69%
Male,55–64,4,3.13%
Male,65+,7,5.47%
Female,18–24,15,11.72%
Female,25–34,17,13.28%
Female,35–44,2,1.56%
Female,45–54,1,0.78%
Female,55–64,0,0.00%
Female,65+,0,0.00%
