Location Name,Impressions
Andaman and Nicobar Islands,1
Andhra Pradesh,59
Arunachal Pradesh,4
Assam,49
Bihar,143
Chandigarh,14
Chhattisgarh,13
Dadra and Nagar Haveli and Daman and Diu,1
Delhi,120
Goa,4
Gujarat,125
Haryana,108
Himachal Pradesh,11
India,0
Jammu and Kashmir,28
Jharkhand,14
Karnataka,93
Kerala,40
Madhya Pradesh,138
Maharashtra,268
Manipur,2
Meghalaya,5
Mizoram,0
Nagaland,0
Odisha,41
Puducherry,4
Punjab,70
Rajasthan,113
Sikkim,2
Tamil Nadu,95
Telangana,81
Tripura,13
Uttar Pradesh,334
Uttarakhand,16
West Bengal,120
