Start Hour,Impressions
00,55
01,44
02,23
03,13
04,6
05,8
06,17
07,44
08,78
09,83
10,103
11,90
12,96
13,74
14,94
15,105
16,133
17,126
18,150
19,150
20,190
21,167
22,164
23,116
