Gender,Age Range,Impressions,Percent of known total
Male,18–24,300,23.79%
Male,25–34,309,24.50%
Male,35–44,148,11.74%
Male,45–54,85,6.74%
Male,55–64,44,3.49%
Male,65+,27,2.14%
Female,18–24,180,14.27%
Female,25–34,90,7.14%
Female,35–44,43,3.41%
Female,45–54,31,2.46%
Female,55–64,2,0.16%
Female,65+,2,0.16%
