Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Enterprise Legal AI OS,Enabled,Enabled,₹726.80,22,5.47%
Contract AI & Document Automation,Enabled,Enabled,₹92.13,3,6.00%
