Gender,Age Range,Impressions,Percent of known total
Male,18–24,0,0.00%
Male,25–34,85,31.14%
Male,35–44,50,18.32%
Male,45–54,58,21.25%
Male,55–64,27,9.89%
Male,65+,7,2.56%
Female,18–24,0,0.00%
Female,25–34,21,7.69%
Female,35–44,13,4.76%
Female,45–54,11,4.03%
Female,55–64,1,0.37%
Female,65+,0,0.00%
