Start Hour,Impressions
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,20
10,0
11,22
12,64
13,86
14,51
15,59
16,55
17,35
18,39
19,21
20,0
21,0
22,0
23,0
