Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Enterprise Legal AI OS,Enabled,Enabled,"₹1,098.53",30,8.38%
Case Management & AI Paralegal,Enabled,Enabled,₹157.65,4,11.43%
