Date,Clicks,Impressions,Avg. CPC,Cost
"Sat, 6 Jun 2026",7,84,₹33.70,₹235.91
"Sun, 7 Jun 2026",17,230,₹38.91,₹661.41
"Mon, 8 Jun 2026",10,79,₹35.89,₹358.85
