Start Hour,Impressions
00,16
01,14
02,6
03,4
04,7
05,7
06,7
07,11
08,7
09,14
10,22
11,29
12,24
13,6
14,16
15,13
16,11
17,23
18,26
19,26
20,25
21,27
22,20
23,32
