Gender,Age Range,Impressions,Percent of known total
Male,18–24,36,13.14%
Male,25–34,82,29.93%
Male,35–44,31,11.31%
Male,45–54,29,10.58%
Male,55–64,18,6.57%
Male,65+,6,2.19%
Female,18–24,31,11.31%
Female,25–34,20,7.30%
Female,35–44,15,5.47%
Female,45–54,6,2.19%
Female,55–64,0,0.00%
Female,65+,0,0.00%
