Gender,Age Range,Impressions,Percent of known total
Male,18–24,1,2.50%
Male,25–34,11,27.50%
Male,35–44,7,17.50%
Male,45–54,1,2.50%
Male,55–64,1,2.50%
Male,65+,3,7.50%
Female,18–24,6,15.00%
Female,25–34,5,12.50%
Female,35–44,4,10.00%
Female,45–54,1,2.50%
Female,55–64,0,0.00%
Female,65+,0,0.00%
