Gender,Age Range,Impressions,Percent of known total
Male,18–24,19,10.92%
Male,25–34,57,32.76%
Male,35–44,31,17.82%
Male,45–54,15,8.62%
Male,55–64,4,2.30%
Male,65+,4,2.30%
Female,18–24,17,9.77%
Female,25–34,16,9.20%
Female,35–44,6,3.45%
Female,45–54,4,2.30%
Female,55–64,1,0.57%
Female,65+,0,0.00%
