Start Hour,Impressions
00,0
01,0
02,0
03,0
04,0
05,0
06,0
07,0
08,0
09,12
10,8
11,19
12,26
13,20
14,32
15,51
16,36
17,45
18,0
19,0
20,0
21,0
22,0
23,0
