Ad Group Name,Ad Group Status,Campaign Status,Cost,Clicks,CTR
Enterprise Legal AI OS,Enabled,Enabled,₹627.99,14,6.51%
Case Management & AI Paralegal,Enabled,Enabled,₹44.80,1,2.94%
